Ana_Sam_Fdt_Id,Ana_Uncensored_Value,Pg_Measurement_Unit,Ana_Parameter_Name,Ana_Mdl,Pg_Storet_Code
2965707,9.01,ug/l,CHLOROPHYLL-A UG/L SPECTROPHOTOMETRIC ACID. METH.,0.1,32211
2966214,5.39,ug/l,CHLOROPHYLL-A UG/L SPECTROPHOTOMETRIC ACID. METH.,0.1,32211
2967258,0.192,mg/l,"NITROGEN PARTICULATE, FIELD FILT., SUSP., WTR MG/L",0.06,49570
2967298,0.222,mg/l,"NITROGEN PARTICULATE, FIELD FILT., SUSP., WTR MG/L",0.06,49570
2966245,8.86,ug/l,CHLOROPHYLL-A UG/L SPECTROPHOTOMETRIC ACID. METH.,0.1,32211
2965638,10,cfu/100ml,ENTEROCOCCI- ME-MF N0/100ML,NA,31649
2965678,10,cfu/100ml,ENTEROCOCCI- ME-MF N0/100ML,NA,31649
2965707,10,cfu/100ml,ENTEROCOCCI- ME-MF N0/100ML,NA,31649
2965238,10,cfu/100ml,ENTEROCOCCI- ME-MF N0/100ML,NA,31649
2966245,10,cfu/100ml,ENTEROCOCCI- ME-MF N0/100ML,NA,31649
2966214,10,cfu/100ml,ENTEROCOCCI- ME-MF N0/100ML,NA,31649
